Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka <= -0.48;6.284623074888602;K ka;-0.48;<=;-0.5530037290491616;18.0;0.004092283291744936;K ka <= -0.553004
K ka > 0.44;5.039328475067221;K ka;0.44;>;0.5221139741195837;34.0;0.001977662914902978;K ka > 0.522114
K ka <= -0.16;4.827155063730203;K ka;-0.16;<=;-0.1883424377242589;19.0;0.000300713671025965;K ka <= -0.188342
K kb + Ca ka <= -0.14;4.650039440817581;K kb + Ca ka;-0.14;<=;-0.0634578810015149;21.0;0.00024625438384312526;K kb + Ca ka <= -0.063458
K ka <= 0.20;4.423660024169296;K ka;0.20;<=;0.25404221656655146;24.0;0.00419236186861921;K ka <= 0.254042
Rb ka + Br kb > -0.02;4.149785426132004;Rb ka + Br kb;-0.02;>;-0.0037442710273197246;27.0;0.0007290866009028382;Rb ka + Br kb > -0.003744
K ka <= 0.44;3.929844089451711;K ka;0.44;<=;0.5221139741195837;34.0;0.001977662914902978;K ka <= 0.522114
K ka > 0.20;3.797873385148327;K ka;0.20;>;0.25404221656655146;24.0;0.00419236186861921;K ka > 0.254042
K kb + Ca ka > 0.16;3.2721331963081495;K kb + Ca ka;0.16;>;0.047945349056639226;19.0;0.0020581935877722335;K kb + Ca ka > 0.047945
K ka > -0.48;3.2604333693809076;K ka;-0.48;>;-0.5530037290491616;18.0;0.004092283291744936;K ka > -0.553004
K kb + Ca ka <= -0.02;3.182283509694469;K kb + Ca ka;-0.02;<=;-0.0049280877623834865;3.0;0.001388698610241934;K kb + Ca ka <= -0.004928
K ka > -0.16;3.0547299093475444;K ka;-0.16;>;-0.1883424377242589;19.0;0.000300713671025965;K ka > -0.188342
K kb + Ca ka <= 0.11;3.027968671723468;K kb + Ca ka;0.11;<=;0.05221740101320716;11.0;0.0030780701196047033;K kb + Ca ka <= 0.052217
K kb + Ca ka <= 0.16;2.9817048720152224;K kb + Ca ka;0.16;<=;0.047945349056639226;19.0;0.0020581935877722335;K kb + Ca ka <= 0.047945
K kb + Ca ka > 0.11;2.932747156904864;K kb + Ca ka;0.11;>;0.05221740101320716;11.0;0.0030780701196047033;K kb + Ca ka > 0.052217
K kb + Ca ka > -0.02;2.8332108111918006;K kb + Ca ka;-0.02;>;-0.0049280877623834865;3.0;0.001388698610241934;K kb + Ca ka > -0.004928
Rb ka + Br kb > -0.12;2.442412575248026;Rb ka + Br kb;-0.12;>;-0.062361456661756146;9.0;0.0020808586582180405;Rb ka + Br kb > -0.062361
Rb ka + Br kb <= -0.28;2.2774993513608948;Rb ka + Br kb;-0.28;<=;-0.13652332318262622;0.0;0.00019840678018206992;Rb ka + Br kb <= -0.136523
K kb + Ca ka > -0.14;2.2370515957291905;K kb + Ca ka;-0.14;>;-0.0634578810015149;21.0;0.00024625438384312526;K kb + Ca ka > -0.063458
Cl <= -0.20;2.0756400458124267;Cl;-0.20;<=;-0.07430131975503179;7.0;0.0011348428381593445;Cl <= -0.074301
Rb ka + Br kb > -0.28;2.04364191796578;Rb ka + Br kb;-0.28;>;-0.13652332318262622;0.0;0.00019840678018206992;Rb ka + Br kb > -0.136523
Cl > 0.16;2.035326252645979;Cl;0.16;>;0.06112234687863521;13.0;0.0027234530225121734;Cl > 0.061122
Cl > 0.03;1.7301682056630105;Cl;0.03;>;0.011233014109880965;16.0;0.003159298113814473;Cl > 0.011233
Rb ka + Br kb <= -0.12;1.6121510262768228;Rb ka + Br kb;-0.12;<=;-0.062361456661756146;9.0;0.0020808586582180405;Rb ka + Br kb <= -0.062361
Cl <= -0.04;1.3109565025838172;Cl;-0.04;<=;-0.01592905451340936;14.0;0.003223783846991922;Cl <= -0.015929
Rh ka Rayleigh <= -0.15;1.1838415058180158;Rh ka Rayleigh;-0.15;<=;-0.09309661225687013;25.0;0.002291430384146975;Rh ka Rayleigh <= -0.093097
Cl <= 0.03;1.1827677576637536;Cl;0.03;<=;0.011233014109880965;16.0;0.003159298113814473;Cl <= 0.011233
Rb ka + Br kb <= 0.14;1.1420338888481854;Rb ka + Br kb;0.14;<=;0.06799395113647247;33.0;0.00028345179785560504;Rb ka + Br kb <= 0.067994
Rh ka Compton <= -0.39;1.0720474885113704;Rh ka Compton;-0.39;<=;-0.34597265719891673;25.0;0.002620268457299124;Rh ka Compton <= -0.345973
Cl <= 0.16;1.038797388019282;Cl;0.16;<=;0.06112234687863521;13.0;0.0027234530225121734;Cl <= 0.061122
Rh ka Compton <= -0.05;1.0326989819649934;Rh ka Compton;-0.05;<=;-0.04304015359971943;26.0;0.0012773392433402461;Rh ka Compton <= -0.043040
Rb ka + Br kb <= -0.02;1.0324582737579975;Rb ka + Br kb;-0.02;<=;-0.0037442710273197246;27.0;0.0007290866009028382;Rb ka + Br kb <= -0.003744
Cl > -0.04;0.9998127766773891;Cl;-0.04;>;-0.01592905451340936;14.0;0.003223783846991922;Cl > -0.015929
Rh kb Compton <= -0.20;0.9660266204513024;Rh kb Compton;-0.20;<=;-0.10080061536968668;25.0;0.0011149480389508193;Rh kb Compton <= -0.100801
Cl > -0.20;0.9405482095045468;Cl;-0.20;>;-0.07430131975503179;7.0;0.0011348428381593445;Cl > -0.074301
Rh ka Compton > 0.45;0.9238232429515509;Rh ka Compton;0.45;>;0.421114080452978;2.0;0.002151522945430029;Rh ka Compton > 0.421114
Rh ka Rayleigh <= -0.02;0.7440845055456788;Rh ka Rayleigh;-0.02;<=;-0.02072950851993112;10.0;0.004994008145047503;Rh ka Rayleigh <= -0.020730
Rh kb Compton <= 0.00;0.7089945450312625;Rh kb Compton;0.00;<=;0.004147107635348373;8.0;0.0032555216029894404;Rh kb Compton <= 0.004147
Rh ka Compton > 0.14;0.6914935999887497;Rh ka Compton;0.14;>;0.12874896917652345;0.0;0.0022498244278684465;Rh ka Compton > 0.128749
Rh ka Rayleigh > 0.21;0.6821801399511981;Rh ka Rayleigh;0.21;>;0.1270417622992681;13.0;0.0033233012409882856;Rh ka Rayleigh > 0.127042
Rh ka Rayleigh <= 0.09;0.6735168862834745;Rh ka Rayleigh;0.09;<=;0.05953315951673674;33.0;0.0003789493142775102;Rh ka Rayleigh <= 0.059533
Zn > 0.07;0.608459363353937;Zn;0.07;>;0.02130259795165504;21.0;0.0022011428178128484;Zn > 0.021303
Rh ka Compton <= 0.14;0.5823833246303591;Rh ka Compton;0.14;<=;0.12874896917652345;0.0;0.0022498244278684465;Rh ka Compton <= 0.128749
Rh kb Compton > 0.25;0.5600211330742852;Rh kb Compton;0.25;>;0.12412394010737911;3.0;0.0033643669939620313;Rh kb Compton > 0.124124
Rh ka Rayleigh <= 0.21;0.5410130605605772;Rh ka Rayleigh;0.21;<=;0.1270417622992681;13.0;0.0033233012409882856;Rh ka Rayleigh <= 0.127042
Rh ka Rayleigh > 0.09;0.507875324081934;Rh ka Rayleigh;0.09;>;0.05953315951673674;33.0;0.0003789493142775102;Rh ka Rayleigh > 0.059533
Rh ka Compton > -0.05;0.49509198255158865;Rh ka Compton;-0.05;>;-0.04304015359971943;26.0;0.0012773392433402461;Rh ka Compton > -0.043040
Rh ka Compton <= 0.45;0.4882321745388525;Rh ka Compton;0.45;<=;0.421114080452978;2.0;0.002151522945430029;Rh ka Compton <= 0.421114
Rh kb Compton > 0.10;0.4618566488405801;Rh kb Compton;0.10;>;0.05069030583334881;1.0;0.0044153999199970095;Rh kb Compton > 0.050690
Zn <= -0.10;0.429539720253418;Zn;-0.10;<=;-0.03157306707776221;8.0;0.0037934166548431597;Zn <= -0.031573
Rh kb Compton <= 0.10;0.42279942367241385;Rh kb Compton;0.10;<=;0.05069030583334881;1.0;0.0044153999199970095;Rh kb Compton <= 0.050690
Zn > 0.02;0.4221102660136948;Zn;0.02;>;0.004011034625430219;20.0;0.0006595766713897132;Zn > 0.004011
Rh kb Compton <= 0.25;0.41721448681717527;Rh kb Compton;0.25;<=;0.12412394010737911;3.0;0.0033643669939620313;Rh kb Compton <= 0.124124
Zn > -0.10;0.41386321798668674;Zn;-0.10;>;-0.03157306707776221;8.0;0.0037934166548431597;Zn > -0.031573
Rh ka Rayleigh > -0.02;0.41201723350897335;Rh ka Rayleigh;-0.02;>;-0.02072950851993112;10.0;0.004994008145047503;Rh ka Rayleigh > -0.020730
Zn <= -0.03;0.39841226749822933;Zn;-0.03;<=;-0.009577440667061649;24.0;0.002003851056964802;Zn <= -0.009577
Fe > 0.09;0.3976343431956755;Fe;0.09;>;0.019942850533682697;13.0;0.0003321503862268038;Fe > 0.019943
Rh ka Compton > -0.39;0.3927498873047366;Rh ka Compton;-0.39;>;-0.34597265719891673;25.0;0.002620268457299124;Rh ka Compton > -0.345973
Rh ka Rayleigh > -0.15;0.37676319007340875;Rh ka Rayleigh;-0.15;>;-0.09309661225687013;25.0;0.002291430384146975;Rh ka Rayleigh > -0.093097
Zn > -0.03;0.374179457985583;Zn;-0.03;>;-0.009577440667061649;24.0;0.002003851056964802;Zn > -0.009577
Rh kb Compton > 0.00;0.35489476491641453;Rh kb Compton;0.00;>;0.004147107635348373;8.0;0.0032555216029894404;Rh kb Compton > 0.004147
Rh kb Compton > -0.20;0.3390782175378564;Rh kb Compton;-0.20;>;-0.10080061536968668;25.0;0.0011149480389508193;Rh kb Compton > -0.100801
background3 <= -0.26;0.3288723831356297;background3;-0.26;<=;-0.10751376287868951;18.0;0.0026025015705421484;background3 <= -0.107514
Zn <= 0.02;0.28294627743551876;Zn;0.02;<=;0.004011034625430219;20.0;0.0006595766713897132;Zn <= 0.004011
